date_time;bus_point;real_power;reactive_power
2017/06/02-20:10;MELTEMI;19.31;05.87
2017/06/02-20:15;MELTEMI;18.93;05.92
2017/06/02-20:20;MELTEMI;18.11;05.47
2017/06/02-20:25;MELTEMI;18.04;05.80
2017/06/02-20:30;MELTEMI;17.57;05.34
2017/06/02-20:35;MELTEMI;17.84;05.77
2017/06/02-20:40;MELTEMI;17.49;05.49
2017/06/02-20:45;MELTEMI;17.43;05.83
2017/06/02-20:50;MELTEMI;16.90;05.35
2017/06/02-20:55;MELTEMI;16.83;05.50
2017/06/02-21:00;MELTEMI;16.71;05.52
2017/06/02-21:05;MELTEMI;16.38;05.32
2017/06/02-21:10;MELTEMI;16.76;05.86
2017/06/02-21:15;MELTEMI;15.10;05.31
2017/06/02-21:20;MELTEMI;15.49;05.52
2017/06/02-21:25;MELTEMI;14.46;05.03
2017/06/02-21:30;MELTEMI;14.63;05.33
2017/06/02-21:35;MELTEMI;14.90;05.15
2017/06/02-21:40;MELTEMI;14.89;05.41
2017/06/02-21:45;MELTEMI;14.55;05.09
2017/06/02-21:50;MELTEMI;13.40;04.97
2017/06/02-21:55;MELTEMI;14.13;05.11
2017/06/02-22:00;MELTEMI;13.16;04.83
2017/06/02-22:05;MELTEMI;13.49;05.25
2017/06/02-22:10;MELTEMI;14.67;04.91
2017/06/02-22:15;MELTEMI;14.82;05.20
2017/06/02-22:20;MELTEMI;14.43;04.78
2017/06/02-22:25;MELTEMI;14.24;05.01
2017/06/02-22:30;MELTEMI;13.95;04.89
2017/06/02-22:35;MELTEMI;14.09;04.76
2017/06/02-22:40;MELTEMI;14.42;05.25
2017/06/02-22:45;MELTEMI;14.16;04.87
2017/06/02-22:50;MELTEMI;14.23;05.30
2017/06/02-22:55;MELTEMI;13.51;04.62
2017/06/02-23:00;MELTEMI;13.84;05.00
2017/06/02-23:05;MELTEMI;12.10;04.75
2017/06/02-23:10;MELTEMI;14.37;05.44
2017/06/02-23:15;MELTEMI;13.67;04.80
2017/06/02-23:20;MELTEMI;11.86;05.15
2017/06/02-23:25;MELTEMI;11.64;04.84
2017/06/02-23:30;MELTEMI;11.29;04.58
2017/06/02-23:35;MELTEMI;11.77;04.87
2017/06/02-23:40;MELTEMI;11.27;04.56
2017/06/02-23:45;MELTEMI;13.19;05.77
2017/06/02-23:50;MELTEMI;12.40;05.08
2017/06/02-23:55;MELTEMI;12.77;05.42
2017/06/03-00:00;MELTEMI;12.04;04.66
2017/06/03-00:05;MELTEMI;12.32;05.29
2017/06/03-00:10;MELTEMI;11.14;05.25
2017/06/03-00:15;MELTEMI;13.67;06.15
2017/06/03-00:20;MELTEMI;10.86;04.92
2017/06/03-00:25;MELTEMI;10.76;04.82
2017/06/03-00:30;MELTEMI;11.32;05.32
2017/06/03-00:35;MELTEMI;11.28;05.29
2017/06/03-00:40;MELTEMI;11.24;05.33
2017/06/03-00:45;MELTEMI;10.69;04.24
2017/06/03-00:50;MELTEMI;10.88;04.76
2017/06/03-00:55;MELTEMI;10.53;04.06
2017/06/03-01:00;MELTEMI;10.06;03.68
2017/06/03-01:05;MELTEMI;10.50;04.56
2017/06/03-01:10;MELTEMI;10.07;04.18
2017/06/03-01:15;MELTEMI;10.74;05.43
2017/06/03-01:20;MELTEMI;12.54;04.70
2017/06/03-01:25;MELTEMI;12.74;04.95
2017/06/03-01:30;MELTEMI;12.38;04.19
2017/06/03-01:35;MELTEMI;12.99;05.23
2017/06/03-01:40;MELTEMI;12.54;04.43
2017/06/03-01:45;MELTEMI;13.14;05.91
2017/06/03-01:50;MELTEMI;10.53;04.97
