date_time;bus_point;real_power;reactive_power
2017/06/04-06:40;MELTEMI;15.15;05.77
2017/06/04-06:45;MELTEMI;11.99;04.96
2017/06/04-06:50;MELTEMI;13.08;05.11
2017/06/04-06:55;MELTEMI;12.10;05.04
2017/06/04-07:00;MELTEMI;14.02;06.02
2017/06/04-07:05;MELTEMI;12.74;04.58
2017/06/04-07:10;MELTEMI;15.12;06.09
2017/06/04-07:15;MELTEMI;14.98;05.16
2017/06/04-07:20;MELTEMI;16.11;06.03
2017/06/04-07:25;MELTEMI;15.37;05.09
2017/06/04-07:30;MELTEMI;16.34;06.04
2017/06/04-07:35;MELTEMI;14.49;05.87
2017/06/04-07:40;MELTEMI;12.63;05.70
2017/06/04-07:45;MELTEMI;15.82;06.37
2017/06/04-07:50;MELTEMI;15.35;06.33
2017/06/04-07:55;MELTEMI;13.85;05.80
2017/06/04-08:00;MELTEMI;15.31;06.17
2017/06/04-08:05;MELTEMI;15.29;06.21
2017/06/04-08:10;MELTEMI;16.16;06.33
2017/06/04-08:15;MELTEMI;14.85;06.19
2017/06/04-08:20;MELTEMI;13.46;05.62
2017/06/04-08:25;MELTEMI;15.47;06.10
2017/06/04-08:30;MELTEMI;15.04;05.74
2017/06/04-08:35;MELTEMI;14.34;06.07
2017/06/04-08:40;MELTEMI;14.32;06.05
2017/06/04-08:45;MELTEMI;15.21;06.30
2017/06/04-08:50;MELTEMI;14.72;06.26
2017/06/04-08:55;MELTEMI;15.50;05.75
2017/06/04-09:00;MELTEMI;15.99;05.53
2017/06/04-09:05;MELTEMI;17.92;05.62
2017/06/04-09:10;MELTEMI;18.51;05.65
2017/06/04-09:15;MELTEMI;16.54;05.60
2017/06/04-09:20;MELTEMI;17.47;06.36
2017/06/04-09:25;MELTEMI;17.80;05.72
2017/06/04-09:30;MELTEMI;18.57;06.34
2017/06/04-09:35;MELTEMI;18.24;06.39
2017/06/04-09:40;MELTEMI;17.59;06.39
2017/06/04-09:45;MELTEMI;17.42;06.40
2017/06/04-09:50;MELTEMI;18.73;06.38
2017/06/04-09:55;MELTEMI;17.94;06.40
